Wall time,Step,Value
1736875107.8769112,632495,29.0
1736875373.031635,633871,31.0
1736875470.8402526,634385,32.0
1736875498.8423061,634536,34.0
1736875998.3144748,637139,32.0
1736876127.8083823,637824,32.0
1736876181.7278798,638100,28.0
1736876294.3224535,638689,31.0
1736876509.9052052,639854,29.0
1736876980.045266,642309,27.0
1736877487.8033292,644974,32.0
1736877609.6758943,645600,30.0
1736877851.5685067,646864,31.0
1736878016.7957664,647728,34.0
1736878048.458987,647883,33.0
1736878077.51182,648041,36.0
1736878159.4447203,648468,30.0
1736878240.6913292,648869,29.0
1736878787.953793,651741,28.0
1736879264.8807628,654230,30.0
1736879292.578404,654379,36.0
1736879395.8461342,654919,33.0
1736879523.9242861,655594,29.0
1736879701.4053996,656537,34.0
1736879930.6080284,657738,27.0
1736879981.910203,658006,33.0
1736880248.031002,659392,29.0
1736880388.9326875,660121,31.0
1736880444.85804,660409,35.0
1736880607.384909,661253,30.0
1736880656.3249798,661517,33.0
1736880707.0921066,661782,29.0
1736881016.8819516,663409,31.0
1736881064.3339343,663666,31.0
1736881107.7671967,663901,25.0
1736881663.3203468,666818,29.0
1736881883.6799128,667952,30.0
1736881960.891773,668334,31.0
1736882390.9814239,670425,32.0
1736882656.2764406,671701,30.0
1736882679.5409772,671816,28.0
1736882735.98381,672087,33.0
1736882892.7237813,672843,31.0
1736883035.543105,673602,29.0
1736883215.9454486,674531,28.0
1736883372.3563437,675168,33.0
1736883556.2097774,676058,29.0
1736883726.1401832,676896,31.0
1736884073.7916317,678650,33.0
1736884746.1807792,682118,34.0
1736885274.0203166,684800,33.0
1736885345.018764,685157,28.0
1736885444.7134752,685672,36.0
1736885473.4713893,685811,28.0
1736885646.458741,686681,30.0
1736886107.720003,688962,31.0
1736886370.320565,690301,30.0
1736886662.3393579,691770,36.0
1736886845.6308255,692704,35.0
1736887003.7027838,693497,30.0
1736887643.4618711,696620,31.0
1736888808.36165,702453,27.0
1736888975.1790774,703320,22.0
1736889085.4663804,703882,32.0
1736889434.1100643,705648,30.0
1736889727.0558112,707114,31.0
1736889818.8312883,707582,27.0
1736890014.6938643,708479,22.0
1736890036.2271755,708574,24.0
1736890148.6515026,709107,37.0
1736890399.147417,710342,30.0
1736890422.66351,710463,30.0
1736890689.2565453,711747,34.0
1736890720.0649219,711895,31.0
